tensor_name,layer_name,real_param_count,balanced_scomp_positions,balanced_sstego_positions,balanced_total_positions,balanced_scope_percent,raw_pai,is_scomp_tensor
m_1.conv.weight,m_1.conv,1728,207,41,248,14.351851851851851,0.10390285402536392,1
m_2.layer1.0.conv1.weight,m_2.layer1.0.conv1,36864,0,41,41,0.11121961805555555,0.011934708803892136,0
m_2.layer1.0.conv2.weight,m_2.layer1.0.conv2,36864,0,41,41,0.11121961805555555,0.005833343602716923,0
m_2.layer1.1.conv1.weight,m_2.layer1.1.conv1,36864,0,41,41,0.11121961805555555,0.0013224221765995026,0
m_2.layer1.1.conv2.weight,m_2.layer1.1.conv2,36864,0,41,41,0.11121961805555555,0.0021775381173938513,0
m_2.layer1.2.conv1.weight,m_2.layer1.2.conv1,36864,0,41,41,0.11121961805555555,0.002094412688165903,0
m_2.layer1.2.conv2.weight,m_2.layer1.2.conv2,36864,0,41,41,0.11121961805555555,0.005833315663039684,0
m_2.layer2.0.conv1.weight,m_2.layer2.0.conv1,73728,0,41,41,0.055609809027777776,0.008529522456228733,0
m_2.layer2.0.conv2.weight,m_2.layer2.0.conv2,147456,0,41,41,0.027804904513888888,0.002840472385287285,0
m_2.layer2.0.shortcut.0.weight,m_2.layer2.0.shortcut.0,8192,0,41,41,0.50048828125,0.2108706682920456,0
m_2.layer2.1.conv1.weight,m_2.layer2.1.conv1,147456,0,41,41,0.027804904513888888,0.00011124086449854076,0
m_2.layer2.1.conv2.weight,m_2.layer2.1.conv2,147456,0,41,41,0.027804904513888888,0.0018781868275254965,0
m_2.layer2.2.conv1.weight,m_2.layer2.2.conv1,147456,0,41,41,0.027804904513888888,0.0,0
m_2.layer2.2.conv2.weight,m_2.layer2.2.conv2,147456,0,41,41,0.027804904513888888,0.0,0
m_2.layer2.3.conv1.weight,m_2.layer2.3.conv1,147456,0,41,41,0.027804904513888888,0.001907937927171588,0
m_2.layer2.3.conv2.weight,m_2.layer2.3.conv2,147456,0,41,41,0.027804904513888888,0.0006585148512385786,0
m_2.layer3.0.conv1.weight,m_2.layer3.0.conv1,294912,0,41,41,0.013902452256944444,0.004519008565694094,0
m_2.layer3.0.conv2.weight,m_2.layer3.0.conv2,589824,0,41,41,0.006951226128472222,0.0032413743901997805,0
m_2.layer3.0.shortcut.0.weight,m_2.layer3.0.shortcut.0,32768,0,41,41,0.1251220703125,0.022464776411652565,0
m_2.layer3.1.conv1.weight,m_2.layer3.1.conv1,589824,0,41,41,0.006951226128472222,0.0005083094001747668,0
m_2.layer3.1.conv2.weight,m_2.layer3.1.conv2,589824,0,41,41,0.006951226128472222,0.0005751308635808527,0
m_2.layer3.2.conv1.weight,m_2.layer3.2.conv1,589824,0,41,41,0.006951226128472222,0.0006443677702918649,0
m_2.layer3.2.conv2.weight,m_2.layer3.2.conv2,589824,0,41,41,0.006951226128472222,0.00024369280436076224,0
m_2.layer3.3.conv1.weight,m_2.layer3.3.conv1,589824,0,41,41,0.006951226128472222,0.0025765455793589354,0
m_2.layer3.3.conv2.weight,m_2.layer3.3.conv2,589824,0,41,41,0.006951226128472222,0.0010621751425787807,0
m_2.layer3.4.conv1.weight,m_2.layer3.4.conv1,589824,0,41,41,0.006951226128472222,0.002812070306390524,0
m_2.layer3.4.conv2.weight,m_2.layer3.4.conv2,589824,0,41,41,0.006951226128472222,0.0009086549980565906,0
m_2.layer3.5.conv1.weight,m_2.layer3.5.conv1,589824,0,41,41,0.006951226128472222,0.003092330414801836,0
m_2.layer3.5.conv2.weight,m_2.layer3.5.conv2,589824,0,41,41,0.006951226128472222,0.0007861324120312929,0
m_2.layer4.0.conv1.weight,m_2.layer4.0.conv1,1179648,0,41,41,0.003475613064236111,0.009205147624015808,0
m_2.layer4.0.conv2.weight,m_2.layer4.0.conv2,2359296,0,41,41,0.0017378065321180555,0.011973526328802109,0
m_2.layer4.0.shortcut.0.weight,m_2.layer4.0.shortcut.0,131072,0,41,41,0.031280517578125,0.004923202097415924,0
m_2.layer4.1.conv1.weight,m_2.layer4.1.conv1,2359296,0,41,41,0.0017378065321180555,0.04480612277984619,0
m_2.layer4.1.conv2.weight,m_2.layer4.1.conv2,2359296,0,41,41,0.0017378065321180555,0.007301506586372852,0
m_2.layer4.2.conv1.weight,m_2.layer4.2.conv1,2359296,0,41,41,0.0017378065321180555,0.01800629496574402,0
m_2.layer4.2.conv2.weight,m_2.layer4.2.conv2,2359296,0,41,41,0.0017378065321180555,0.0022664328571408987,0
m_2.fc.weight,m_2.fc,102400,0,41,41,0.0400390625,0.15031073987483978,0
