layer_name,num_tensors,selected_by_comp,selected_by_stego,union_selected,real_param_count,optimized_positions,changed_params
m_1.conv,1,1,1,1,1728,233,233
m_2.fc,1,0,1,1,102400,39,39
m_2.layer1.0.conv1,1,0,1,1,36864,40,40
m_2.layer1.0.conv2,1,0,1,1,36864,40,40
m_2.layer1.1.conv1,1,0,1,1,36864,40,40
m_2.layer1.1.conv2,1,0,1,1,36864,40,40
m_2.layer1.2.conv1,1,0,1,1,36864,39,39
m_2.layer1.2.conv2,1,0,1,1,36864,40,40
m_2.layer2.0.conv1,1,0,1,1,73728,39,39
m_2.layer2.0.conv2,1,0,1,1,147456,40,40
m_2.layer2.0.shortcut.0,1,0,1,1,8192,40,40
m_2.layer2.1.conv1,1,0,1,1,147456,39,39
m_2.layer2.1.conv2,1,0,1,1,147456,40,40
m_2.layer2.2.conv1,1,0,1,1,147456,40,40
m_2.layer2.2.conv2,1,0,1,1,147456,40,40
m_2.layer2.3.conv1,1,0,1,1,147456,39,39
m_2.layer2.3.conv2,1,0,1,1,147456,39,39
m_2.layer3.0.conv1,1,0,1,1,294912,40,40
m_2.layer3.0.conv2,1,0,1,1,589824,39,39
m_2.layer3.0.shortcut.0,1,0,1,1,32768,40,40
m_2.layer3.1.conv1,1,0,1,1,589824,39,39
m_2.layer3.1.conv2,1,0,1,1,589824,40,40
m_2.layer3.2.conv1,1,0,1,1,589824,39,39
m_2.layer3.2.conv2,1,0,1,1,589824,40,40
m_2.layer3.3.conv1,1,0,1,1,589824,40,40
m_2.layer3.3.conv2,1,0,1,1,589824,40,40
m_2.layer3.4.conv1,1,0,1,1,589824,40,40
m_2.layer3.4.conv2,1,0,1,1,589824,39,39
m_2.layer3.5.conv1,1,0,1,1,589824,40,40
m_2.layer3.5.conv2,1,0,1,1,589824,39,39
m_2.layer4.0.conv1,1,0,1,1,1179648,40,40
m_2.layer4.0.conv2,1,0,1,1,2359296,40,40
m_2.layer4.0.shortcut.0,1,0,1,1,131072,40,40
m_2.layer4.1.conv1,1,0,1,1,2359296,40,40
m_2.layer4.1.conv2,1,0,1,1,2359296,40,40
m_2.layer4.2.conv1,1,0,1,1,2359296,39,39
m_2.layer4.2.conv2,1,0,1,1,2359296,40,40
