layer,global_name,scope_params,comp_positions,stego_positions,union_positions,selected_by_comp,selected_by_stego,raw_stego_layer,norm_stego_layer
0,model.layers.0.self_attn.q_proj.weight,16777216,0,1604,1604,0,1,3073.943501861788,0.056928835420974856
11,model.layers.11.self_attn.q_proj.weight,16777216,0,1604,1604,0,1,45376.67777341922,1.0
25,model.layers.25.self_attn.q_proj.weight,16777216,7683,0,7683,1,0,1793.4323562909228,0.02838190676246766
25,model.layers.25.self_attn.k_proj.weight,4194304,962,0,962,1,0,1793.4323562909228,0.02838190676246766
25,model.layers.25.self_attn.v_proj.weight,4194304,949,0,949,1,0,1793.4323562909228,0.02838190676246766
25,model.layers.25.self_attn.o_proj.weight,16777216,7786,0,7786,1,0,1793.4323562909228,0.02838190676246766
25,model.layers.25.mlp.gate_proj.weight,58720256,13475,0,13475,1,0,1793.4323562909228,0.02838190676246766
25,model.layers.25.mlp.up_proj.weight,58720256,13408,0,13408,1,0,1793.4323562909228,0.02838190676246766
25,model.layers.25.mlp.down_proj.weight,58720256,13464,0,13464,1,0,1793.4323562909228,0.02838190676246766
26,model.layers.26.self_attn.q_proj.weight,16777216,0,1604,1604,0,1,2978.839311829312,0.05480864104596077
27,model.layers.27.self_attn.q_proj.weight,16777216,0,1604,1604,0,1,2541.442281663739,0.045057580417735624
29,model.layers.29.self_attn.q_proj.weight,16777216,7697,0,7697,1,0,1049.4481454514762,0.011795979913372468
29,model.layers.29.self_attn.k_proj.weight,4194304,962,0,962,1,0,1049.4481454514762,0.011795979913372468
29,model.layers.29.self_attn.v_proj.weight,4194304,964,0,964,1,0,1049.4481454514762,0.011795979913372468
29,model.layers.29.self_attn.o_proj.weight,16777216,7620,0,7620,1,0,1049.4481454514762,0.011795979913372468
29,model.layers.29.mlp.gate_proj.weight,58720256,13458,0,13458,1,0,1049.4481454514762,0.011795979913372468
29,model.layers.29.mlp.up_proj.weight,58720256,13441,0,13441,1,0,1049.4481454514762,0.011795979913372468
29,model.layers.29.mlp.down_proj.weight,58720256,13467,0,13467,1,0,1049.4481454514762,0.011795979913372468
30,model.layers.30.self_attn.q_proj.weight,16777216,7656,0,7656,1,0,2300.8664318548076,0.039694330245950815
30,model.layers.30.self_attn.k_proj.weight,4194304,975,0,975,1,0,2300.8664318548076,0.039694330245950815
30,model.layers.30.self_attn.v_proj.weight,4194304,973,0,973,1,0,2300.8664318548076,0.039694330245950815
30,model.layers.30.self_attn.o_proj.weight,16777216,7625,0,7625,1,0,2300.8664318548076,0.039694330245950815
30,model.layers.30.mlp.gate_proj.weight,58720256,13545,0,13545,1,0,2300.8664318548076,0.039694330245950815
30,model.layers.30.mlp.up_proj.weight,58720256,13477,0,13477,1,0,2300.8664318548076,0.039694330245950815
30,model.layers.30.mlp.down_proj.weight,58720256,13431,0,13431,1,0,2300.8664318548076,0.039694330245950815
31,model.layers.31.self_attn.q_proj.weight,16777216,7548,0,7548,1,0,635.8261996902609,0.002574946408057386
31,model.layers.31.self_attn.k_proj.weight,4194304,953,0,953,1,0,635.8261996902609,0.002574946408057386
31,model.layers.31.self_attn.v_proj.weight,4194304,955,0,955,1,0,635.8261996902609,0.002574946408057386
31,model.layers.31.self_attn.o_proj.weight,16777216,7625,0,7625,1,0,635.8261996902609,0.002574946408057386
31,model.layers.31.mlp.gate_proj.weight,58720256,12480,0,12480,1,0,635.8261996902609,0.002574946408057386
31,model.layers.31.mlp.up_proj.weight,58720256,12324,0,12324,1,0,635.8261996902609,0.002574946408057386
31,model.layers.31.mlp.down_proj.weight,58720256,13634,0,13634,1,0,635.8261996902609,0.002574946408057386
